Sample,Baseline_Precision,Baseline_Recall,Baseline_F1,Alignment_Precision,Alignment_Recall,Alignment_F1,Precision_Improvement,Recall_Improvement,F1_Improvement,Runtime_seconds
My Heart Will Go On,0.43503937007874016,0.8435114503816794,0.574025974025974,0.7688888888888888,0.6603053435114504,0.7104722792607803,0.3338495188101487,-0.18320610687022898,0.13644630523480628,8.047021627426147
不为谁而作的歌,0.04460966542750929,0.06629834254143646,0.05333333333333332,0.9095890410958904,0.9171270718232044,0.9133425034387895,0.8649793756683811,0.850828729281768,0.8600091701054562,13.499953269958496
以父之名,0.8581997533908755,0.90625,0.8815706143128563,0.9652996845425867,0.7836107554417413,0.8650176678445229,0.10709993115171124,-0.1226392445582587,-0.016552946468333385,37.68805980682373
光年之外,0.9120654396728016,0.9570815450643777,0.9340314136125654,0.997716894977169,0.9337606837606838,0.9646799116997793,0.08565145530436735,-0.02332086130369393,0.030648498087213927,20.151883363723755
凉凉,0.6167315175097277,0.8521505376344086,0.7155756207674944,0.847953216374269,0.7774798927613941,0.8111888111888113,0.23122169886454136,-0.07467064487301456,0.09561319042131688,8.60892105102539
唯一,0.6114285714285714,0.9304347826086956,0.7379310344827587,0.9848484848484849,0.8478260869565217,0.911214953271028,0.37341991341991343,-0.08260869565217388,0.17328391878826932,2.9764480590820312
想见你想见你想见你,0.5749486652977412,0.7821229050279329,0.6627218934911242,0.9581993569131833,0.8324022346368715,0.8908819133034379,0.383250691615442,0.05027932960893855,0.2281600198123137,17.871368646621704
慢慢喜欢你,0.7102272727272727,0.9282178217821783,0.8047210300429185,0.9925,0.9826732673267327,0.9875621890547265,0.28227272727272734,0.05445544554455439,0.18284115901180797,6.208474159240723
明天会更好,0.6704416761041903,0.9235569422776911,0.7769028871391077,0.8882113821138211,0.6806853582554517,0.7707231040564373,0.21776970600963086,-0.2428715840222394,-0.00617978308267042,37.22248125076294
是妈妈是女儿,0.7677053824362606,0.8885245901639345,0.82370820668693,0.9842657342657343,0.9229508196721311,0.9526226734348562,0.21656035182947364,0.034426229508196626,0.12891446674792617,13.83497428894043
暗号,0.6956521739130435,0.9073724007561437,0.7875307629204266,0.8848368522072937,0.8681732580037664,0.8764258555133081,0.18918467829425023,-0.039199142752377236,0.08889509259288153,22.17946171760559
月牙湾,0.5828970331588132,0.9226519337016574,0.7144385026737968,0.9880239520958084,0.9116022099447514,0.9482758620689656,0.40512691893699515,-0.011049723756906049,0.2338373593951688,9.60324501991272
来迟,0.6423841059602649,0.8798185941043084,0.7425837320574161,0.9975308641975309,0.9160997732426304,0.9550827423167848,0.35514675823726605,0.03628117913832196,0.21249901025936868,11.197363138198853
梦一场,0.7536656891495601,0.9625468164794008,0.8453947368421052,0.8884297520661157,0.8067542213883677,0.8456243854473944,0.13476406291655563,-0.15579259509103305,0.00022964860528917885,7.5084779262542725
给电影人的情书,0.7214137214137214,0.9455040871934605,0.8183962264150942,1.0,0.9098360655737705,0.9527896995708155,0.2785862785862786,-0.03566802161968996,0.13439347315572125,5.261696100234985
野子,0.6118881118881119,0.85995085995086,0.7150153217568948,0.974169741697417,0.6502463054187192,0.7799113737075333,0.3622816298093051,-0.20970455453214076,0.06489605195063852,8.4839026927948
黑暗骑士,0.6047032474804032,0.9424083769633508,0.7366984993178718,0.9942528735632183,0.9026086956521739,0.9462169553327255,0.3895496260828152,-0.03979968131117684,0.20951845601485375,21.854228019714355
Aggregate,0.6361177292375064,0.8528471756842069,0.7249752817575686,0.9426303952851418,0.8414201201982566,0.8871784047359232,0.3065126660476354,-0.011427055485950244,0.1622031229783546,14.835174125783583
