Sample,Baseline_Precision,Baseline_Recall,Baseline_F1,Alignment_Precision,Alignment_Recall,Alignment_F1,Precision_Improvement,Recall_Improvement,F1_Improvement,Runtime_seconds
My Heart Will Go On,0.43503937007874016,0.8435114503816794,0.574025974025974,0.8826530612244898,0.6628352490421456,0.7571115973741794,0.44761369114574967,-0.180676201,0.18308562334820544,6.54200005531311
不为谁而作的歌,0.04460966542750929,0.06629834254143646,0.05333333333333332,0.9701492537313433,0.8977900552486188,0.9325681492109038,0.925539588303834,0.8314917127071824,0.8792348158775705,11.95638632774353
以父之名,0.8581997533908755,0.90625,0.8815706143128563,0.9584026622296173,0.7403598971722365,0.8353879622915156,0.10020290883874183,-0.165890103,-0.046182652,33.051984548568726
光年之外,0.9120654396728016,0.9570815450643777,0.9340314136125654,0.997716894977169,0.9377682403433476,0.9668141592920355,0.08565145530436735,-0.019313305,0.03278274567947015,19.577560901641846
凉凉,0.6167315175097277,0.8521505376344086,0.7155756207674944,0.8606060606060606,0.7613941018766756,0.8079658605974396,0.24387454309633294,-0.090756436,0.09239023982994521,7.467778205871582
唯一,0.6114285714285714,0.9304347826086956,0.7379310344827587,0.9846153846153847,0.8347826086956521,0.9035294117647059,0.37318681318681324,-0.095652174,0.16559837728194726,2.7352359294891357
想见你想见你想见你,0.5749486652977412,0.7821229050279329,0.6627218934911242,0.9580645161290322,0.8296089385474861,0.8892215568862275,0.38311585083129096,0.04748603351955316,0.2264996633951033,16.872490167617798
慢慢喜欢你,0.7102272727272727,0.9282178217821783,0.8047210300429185,0.9924433249370277,0.9752475247524752,0.9837702871410736,0.282216052209755,0.04702970297029696,0.1790492570981551,5.448486328
明天会更好,0.6704416761041903,0.9235569422776911,0.7769028871391077,0.9039301310043668,0.6448598130841121,0.7527272727272727,0.23348845490017656,-0.278697129,-0.024175614,33.5451762676239
是妈妈是女儿,0.7677053824362606,0.8885245901639345,0.82370820668693,0.9806338028169014,0.9131147540983606,0.9456706281833617,0.21292842038064075,0.024590163934426146,0.12196242149643166,11.840860366821289
暗号,0.6956521739130435,0.9073724007561437,0.7875307629204266,0.9145299145299145,0.8090737240075614,0.8585757271815445,0.21887774061687104,-0.098298677,0.07104496426111795,18.848474502563477
月牙湾,0.5828970331588132,0.9226519337016574,0.7144385026737968,0.9940119760479041,0.9171270718232044,0.9540229885057472,0.4111149428890909,-0.005524862,0.23958448583195036,7.967203617095947
来迟,0.6423841059602649,0.8798185941043084,0.7425837320574161,0.9898734177215189,0.8866213151927438,0.9354066985645934,0.3474893117612541,0.006802721088435382,0.19282296650717723,9.911985397338867
梦一场,0.7536656891495601,0.9625468164794008,0.8453947368421052,0.8851063829787233,0.7790262172284644,0.8286852589641434,0.13144069382916324,-0.183520599,-0.016709478,7.5369555950164795
给电影人的情书,0.7214137214137214,0.9455040871934605,0.8183962264150942,0.9802631578947368,0.8142076502732241,0.8895522388059701,0.25884943648101544,-0.131296437,0.07115601239087588,5.801297187805176
野子,0.6118881118881119,0.85995085995086,0.7150153217568948,0.9731800766283525,0.625615763546798,0.7616191904047976,0.3612919647402406,-0.234335096,0.04660386864790289,7.562015056610107
黑暗骑士,0.6047032474804032,0.9424083769633508,0.7366984993178718,0.9942196531791907,0.8989547038327527,0.9441903019213176,0.38951640569878754,-0.043453673,0.2074918026034458,17.28951907157898
Aggregate,0.6361177292375064,0.8528471756842069,0.7249752817575686,0.954141157132455,0.8193169193391682,0.8792246641068723,0.31802342789494853,-0.033530256,0.15424938234930363,13.173847619224997
